GeoFips,GeoName,gdp
0,United States*,20580223
1000,Alabama,221735.5
2000,Alaska,54734.1
4000,Arizona,348297.1
5000,Arkansas,128418.9
6000,California,2997732.8
8000,Colorado,371749.6
9000,Connecticut,275726.9
10000,Delaware,73481.3
11000,District of Columbia,140660.9
12000,Florida,1039236.4
13000,Georgia,592153.4
15000,Hawaii,93797.9
16000,Idaho,77052
17000,Illinois,865310.4
18000,Indiana,366800.5
19000,Iowa,189701.6
20000,Kansas,168318
21000,Kentucky,208087.5
22000,Louisiana,257287.8
23000,Maine,64856
24000,Maryland,412584.2
25000,Massachusetts,569488
26000,Michigan,527095.8
27000,Minnesota,368852.4
28000,Mississippi,114834.2
29000,Missouri,318921
30000,Montana,50326.6
31000,Nebraska,123977.9
32000,Nevada,169309.9
33000,New Hampshire,84463.9
34000,New Jersey,622002.8
35000,New Mexico,100296.8
36000,New York,1668866.2
37000,North Carolina,563690.5
38000,North Dakota,56082.3
39000,Ohio,675905.2
40000,Oklahoma,202554.1
41000,Oregon,239782.8
42000,Pennsylvania,783167.8
44000,Rhode Island,60587.6
45000,South Carolina,233929.9
46000,South Dakota,52014.9
47000,Tennessee,364104.9
48000,Texas,1802511.2
49000,Utah,178137.6
50000,Vermont,33256.3
51000,Virginia,532892.5
53000,Washington,565831
54000,West Virginia,77437.6
55000,Wisconsin,336294
56000,Wyoming,39118.5
91000,New England,1088378.7
92000,Mideast,3700763.3
93000,Great Lakes,2771406
94000,Plains,1277868
95000,Southeast,4333809
96000,Southwest,2453659.3
97000,Rocky Mountain,716384.2
98000,Far West,4121188.4
